time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752927170.0828,-61.99995768070221,12805.821213572597,12805.821384927693,12816.46175000148,15865.460891638904,"[[787, -1, -1], [788, -1, -1], [789, -1, -1], [790, -1, -1], [791, -1, -1], [792, -1, -1], [793, -1, -1], [794, -1, -1], [795, -1, -1], [796, -1, -1], [797, 1, 10464], [797, 1, 10648], [797, -1, -1]]"
1752927170.1938,-59.99995735287666,12805.821213572597,12805.821376811482,12816.46174964447,15865.460891638904,"[[798, -1, -1], [799, -1, -1], [800, -1, -1], [801, -1, -1], [802, -1, -1], [803, -1, -1], [804, 1, 12262], [804, 1, 12296], [804, 1, 12492], [804, -1, -1], [805, -1, -1], [806, -1, -1], [807, -1, -1], [808, -1, -1]]"
1752927170.304,-57.99995702505112,12805.821177830647,12805.821376811482,12816.46174964447,15865.460891638904,"[[809, -1, -1], [810, -1, -1], [811, -1, -1], [812, -1, -1], [813, -1, -1], [814, -1, -1], [815, -1, -1], [816, -1, -1], [817, -1, -1], [818, -1, -1], [819, -1, -1]]"
1752927170.4139,-55.99995669722557,12805.821177830647,12805.821389504144,12816.461749291471,15865.460891638904,"[[820, -1, -1], [821, -1, -1], [822, -1, -1], [823, -1, -1], [824, -1, -1], [825, -1, -1], [826, -1, -1], [827, -1, -1], [828, -1, -1], [829, 1, 11640], [829, 1, 11824], [829, -1, -1], [830, -1, -1]]"
1752927170.5228,-53.999956369400024,12805.821142191797,12805.821389504144,12816.461749291471,15865.460891638904,"[[831, -1, -1], [832, -1, -1], [833, -1, -1], [834, -1, -1], [835, -1, -1], [836, -1, -1], [837, -1, -1], [838, -1, -1], [839, -1, -1], [840, -1, -1], [841, -1, -1]]"
1752927170.6329,-51.99995604157448,12805.821142191797,12805.821382695485,12816.46174818466,15865.460891638904,"[[842, -1, -1], [843, -1, -1], [844, -1, -1], [845, -1, -1], [846, -1, -1], [847, -1, -1], [848, -1, -1], [849, -1, -1], [850, 1, 11888], [850, 1, 12073], [850, -1, -1], [851, 1, 10295], [851, -1, -1], [852, -1, -1]]"
1752927170.7469,-49.99995571374893,12805.821035070396,12805.821382695485,12816.461743497619,15865.460891638904,"[[853, -1, -1], [854, -1, -1], [855, -1, -1], [856, -1, -1], [857, -1, -1], [858, -1, -1], [859, -1, -1], [860, -1, -1], [861, -1, -1], [862, -1, -1], [863, -1, -1]]"
1752927170.8568,-47.999955385923386,12805.821035070396,12805.821375319845,12816.461743497619,15865.460891638904,"[[864, -1, -1], [865, -1, -1], [866, 1, 11935], [866, 1, 12143], [866, -1, -1], [867, -1, -1], [868, -1, -1], [869, -1, -1], [870, -1, -1], [871, -1, -1], [872, -1, -1], [873, -1, -1], [874, -1, -1]]"
1752927170.9668,-45.99995505809784,12805.821073830542,12805.821375319845,12816.461752415176,15865.460891638904,"[[875, 1, 10167], [875, 1, 10370], [875, -1, -1], [876, -1, -1], [877, -1, -1], [878, 1, 11096], [878, 1, 11284], [878, -1, -1], [879, -1, -1], [880, -1, -1], [881, -1, -1], [882, -1, -1], [883, -1, -1], [884, -1, -1], [885, -1, -1]]"
1752927171.0768,-43.99995473027229,12805.821073830542,12805.821380780239,12816.461752415176,15865.460891638904,"[[886, -1, -1], [887, -1, -1], [888, -1, -1], [889, -1, -1], [890, -1, -1], [891, -1, -1], [892, -1, -1], [893, -1, -1], [894, -1, -1], [895, -1, -1], [896, -1, -1]]"
